Previous Score,Sleeping Hours,Practice exam,Delegation,Scholarship,Final Score
79.96714153,7.522429372,2,Xochimilco,Yes,55.58179446
73.61735699,7.424985389,5,Coyoacan,No,68.82710792
81.47688538,5.595220231,3,Iztapalapa,No,46.7115967
90.23029856,7.869376333,3,Iztapalapa,No,73.92421241
72.65846625,4.764875987,4,Xochimilco,Yes,64.46180857
72.65863043,6.018723511,4,Iztapalapa,No,60.83882515
90.79212816,4.001368281,6,Coyoacan,No,67.33174129
82.67434729,9.337939775,6,Iztacalco,Yes,91.00325954
70.30525614,6.652675759,0,Xochimilco,Yes,56.60568032
80.42560044,10.25032605,5,Xochimilco,Yes,82.1507465
70.36582307,8.20442489,3,Alvaro Obregon,No,66.87092626
70.34270246,7.67214732,1,Coyoacan,No,45.53887988
77.41962272,6.120658459,5,Iztapalapa,Yes,70.32999887
55.86719755,5.430474946,6,Benito Juarez,No,60.14391855
57.75082167,7.784457361,1,Coyoacan,No,36.20018354
69.37712471,6.892728986,1,Iztapalapa,No,41.1209868
64.8716888,4.991094527,9,Xochimilco,No,79.5143262
78.14247333,4.724712375,6,Iztapalapa,No,72.57701036
65.91975924,5.561944406,8,Alvaro Obregon,Yes,89.34334434
60.87696299,9.731450838,2,Coyoacan,No,43.25156344
89.65648769,10.31991688,2,Coyoacan,No,60.26649308
72.742237,7.307483721,7,Xochimilco,No,64.88897144
75.67528205,7.223414194,1,Alvaro Obregon,No,62.46737508
60.75251814,6.495519442,8,Xochimilco,No,76.97835181
69.55617275,5.598271978,6,Benito Juarez,Yes,97.0760498
76.1092259,9.062768586,7,Benito Juarez,Yes,96.96128179
63.49006423,9.810364591,8,Iztacalco,Yes,87.02808644
78.75698018,5.659871371,2,Iztacalco,No,47.73708198
68.9936131,6.875742432,5,Alvaro Obregon,No,80.49844991
72.0830625,6.325200549,7,Xochimilco,No,66.94691032
68.98293388,6.369641388,0,Coyoacan,Yes,48.04919819
93.52278185,8.778862383,5,Iztapalapa,Yes,88.22970713
74.86502775,5.032057682,2,Benito Juarez,No,55.12155556
64.42289071,7.699704536,7,Xochimilco,No,71.44712996
83.22544912,8.092357161,8,Coyoacan,No,83.96313689
62.7915635,6.78677324,4,Xochimilco,No,50.78156991
77.08863595,8.33960174,1,Iztacalco,No,50.37096672
55.40329876,7.221477761,6,Benito Juarez,Yes,85.68218291
61.71813951,8.825694882,5,Iztapalapa,No,64.41596376
76.96861236,4.716692043,5,Xochimilco,Yes,70.89610298
82.3846658,6.476837108,0,Iztacalco,No,41.03411952
76.71368281,6.892280286,0,Iztapalapa,No,35.08864977
73.84351718,2.991688923,5,Iztacalco,No,57.23258965
71.98896304,5.3710709,5,Iztapalapa,Yes,73.21507717
60.2147801,5.779601118,3,Xochimilco,No,42.21714373
67.80155792,8.422308992,7,Benito Juarez,Yes,100
70.39361229,5.939734981,8,Xochimilco,Yes,81.41302278
85.57122226,5.772881519,5,Alvaro Obregon,Yes,94.74009077
78.4361829,8.226228671,9,Iztapalapa,No,94.33834513
57.36959845,4.573134031,7,Benito Juarez,Yes,85.03060643
78.24083969,3.893133899,7,Coyoacan,No,64.96161276
71.1491772,6.45761155,1,Coyoacan,No,40.07993246
68.23078,4.828439848,3,Iztacalco,No,45.37664518
81.11676289,4.885481058,0,Xochimilco,No,36.33556988
85.30999522,7.860150688,0,Xochimilco,No,42.10307605
84.31280119,8.313960757,5,Alvaro Obregon,No,86.53748295
66.60782477,8.183296324,6,Iztacalco,No,65.91806861
71.90787624,8.66316499,4,Xochimilco,No,62.88550587
78.31263431,8.86170148,7,Xochimilco,No,84.22186556
84.75545127,3.807114687,8,Iztapalapa,Yes,88.25569077
70.20825762,7.67561794,3,Alvaro Obregon,Yes,82.71912518
73.14341023,6.205587701,0,Iztapalapa,No,27.83915397
63.93665026,5.878863631,5,Xochimilco,No,55.15085715
63.03793376,7.840621948,0,Benito Juarez,Yes,49.39349623
83.12525822,4.40455678,1,Alvaro Obregon,No,45.17777901
88.56240029,4.373337091,3,Coyoacan,No,43.30429799
74.27989878,7.950359116,3,Benito Juarez,No,74.99491846
85.03532898,7.731679026,5,Benito Juarez,No,78.82132362
78.61636025,7.205098984,7,Iztapalapa,Yes,84.23888178
68.54880245,5.680129893,2,Iztacalco,No,41.37188281
78.61395606,8.115744452,5,Xochimilco,Yes,72.69458177
90.38036566,8.020454338,2,Iztapalapa,Yes,74.60012289
74.64173961,7.127956773,1,Benito Juarez,No,59.13240403
90.64643656,5.234018438,3,Alvaro Obregon,No,70.72566315
48.80254896,6.362127481,3,Coyoacan,Yes,50.93093876
